Address,Prices,Area,toFace,type,certificate,width,length,floors,road_front,Terrace,Parking
" Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng", 28 tỷ , 113 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,82m","21,5m",1,15m,,
" Đường Lý Thái Tông, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 15,2 tỷ ", 200 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,10m,20m,1,15m,,
" Đường Trần Đức Thảo, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 7 tỷ , 90 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,1,"7,5m",,
" Đường Kỳ Đồng, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 9,5 tỷ ", 100 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,"7,5m",,
" Đường Hoàng Diệu, Phường Nam Dương, Quận Hải Châu, Đà Nẵng", 64 tỷ , 338 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,12m,27m,1,10m,,
" Đường Tiểu La, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 15 tỷ , 100 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,10m,,
" Đường Hà Huy Tập, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 11,5 tỷ ", 97 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,8m","20,3m",3,10m,,
" Đường Thái Phiên, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng"," 18,5 tỷ ", 94 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,1m",23m,5,"7,5m",,
" Đường Đông Du, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 3,4 tỷ ", 56 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,14m,2,4m,,
" Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng", 15 tỷ , 80 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,7m",14m,3,10m,,
" Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng", 41 tỷ , 158 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,9m",22m,2,10m,,
" Đường Thủ Khoa Huân, Phường An Hải Đông, Quận Sơn Trà, Đà Nẵng", 15 tỷ , 225 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,25m",27m,1,6m,,
" Đường Nguyễn Văn Linh, Phường Nam Dương, Quận Hải Châu, Đà Nẵng"," 47,5 tỷ ", 117 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,23m,9,20m,,
" Đường Phú Xuân 1, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,58 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,1,"5,5m",,
" Đường Lê Duẩn, Phường Hải Châu I, Quận Hải Châu, Đà Nẵng", 23 tỷ , 78 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,8m",14m,3,15m,,
" Đường Nguyễn Văn Linh, Phường Thạc Gián, Quận Thanh Khê, Đà Nẵng", 26 tỷ , 106 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",23m,5,15m,,
" Đường Mai Thúc Lân, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 17,5 tỷ ", 138 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,2m",23m,2,10m,,
" Đường Nguyễn Thị Thập, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 4,2 tỷ ", 101 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",23m,2,"7,5m",,
" Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 5,4 tỷ ", 70 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,4m",16m,3,"7,5m",,
" Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 6,2 tỷ ", 55 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,3m","10,3m",3,10m,,
" Đường Điện Biên Phủ, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 10,5 tỷ ", 80 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,4m",20m,3,33m,,
" Đường Trần Hưng Đạo, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng", 19 tỷ , 100 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,15m,,
" Đường Dương Bích Liên, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,99 tỷ ", 70 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,2,"5,5m",,
" Đường Tôn Thất Đạm, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng", 11 tỷ , 90 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",20m,3,"7,5m",,
" Đường Bàu Năng 2, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,3 tỷ ", 91 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,1,"5,5m",,
" Đường Phan Châu Trinh, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng"," 14,5 tỷ ", 84 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m","18,5m",4,10m,,
" Đường Nguyễn Chích, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,15 tỷ ", 82 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,1,"5,5m",,
" Đường Châu Thị Vĩnh Tế, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 13,5 tỷ ", 114 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,4,"7,5m",,
" Đường Trần Thanh Mại, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 6 tỷ , 75 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2,"5,5m",,
" Đường Nguyễn Tất Thành, Phường Thanh Khê Đông, Quận Thanh Khê, Đà Nẵng"," 8,5 tỷ ", 125 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,3,33m,,
" Đường Nguyễn Huy Tự, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 2,85 tỷ ", 72 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",16m,1,"5,5m",,
" Đường Nguyễn Đức Trung, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 9,8 tỷ ", 100 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,5,10m,,
" Đường Phú Xuân 8, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 5,6 tỷ ", 75 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,3,"5,5m",,
" Đường Lê Cảnh Tuân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 4,7 tỷ ", 85 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,3,"5,5m",,
" Đường Chi Lăng, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng"," 24,4 tỷ ", 108 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,6,10m,,
" Đường Hòa Minh 3, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,35 tỷ ", 72 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",16m,2,"5,5m",,
" Đường Phú Lộc 10, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 4,5 tỷ ", 142 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,8m,18m,1,"5,5m",,
" Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 5 tỷ , 80 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,14m,1,"7,5m",,
" Đường Nguyễn Hoàng, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng"," 16,5 tỷ ", 172 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"8,2m",20m,1,"7,5m",,
" Đường Hòa Minh 3, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 2,55 tỷ ", 72 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",16m,1,"5,5m",,
" 223 Đường Trưng Nữ Vương, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 7,7 tỷ ", 221 m2,Tây,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"9,7m",23m,1,"2,5m",---,---
" Đường Nguyễn Đổng Chi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 7,5 tỷ ", 80 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,3,"5,5m",---,---
" Đường Đào Trí, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 4,35 tỷ ", 75 m2,Tây Bắc,Nhà mặt tiền,---,5m,15m,3,"5,5m",---,---
" Đường Lưu Trọng Lư, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 5,2 tỷ ", 70 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,17m,2,"5,5m",---,---
" Đường Lý Nhân Tông, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 8,1 tỷ ", 93 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"18,5m",3,"7,5m",---,---
" Đường Gò Nãy 6, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 4,5 tỷ ", 90 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2,"7,5m",---,---
" Đường Trần Thủ Độ, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 7,8 tỷ ", 100 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,10m,---,---
" Đường Nguyễn Xuân Nhĩ, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 3,9 tỷ ", 57 m2,Đông,Nhà mặt tiền,---,"4,05m",15m,1,"7,5m",---,---
" Đường Ngọc Hồi, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,479 tỷ ", 75 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,1,"5,5m",---,---
" Đường Bàu Năng 10, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,5 tỷ ", 85 m2,Tây Bắc,Nhà mặt tiền,---,5m,18m,1,"5,5m",---,---
" Đường Trần Nhân Tông, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 6,1 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,11m,,
" Đường Nại Hiên Đông, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 4,3 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,3,"5,5m",,
" Đường Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 7,5 tỷ ", 66 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,4,"5,5m",,
" Đường Lê Tấn Trung., Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 3,65 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,2,"5,5m",---,---
" Đường Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 1,55 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,12m,2,2m,---,---
" Đường Nguyễn Phan Vinh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 2,3 tỷ ", 90 m2,_,Nhà trong hẻm,---,5m,18m,2,3m,---,---
" Đường Nguyễn Sơn, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 7,7 tỷ ", 90 m2,_,Nhà mặt tiền,---,6m,15m,3,"7,5m",---,---
" Đường Bình An 7, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 4,7 tỷ ", 56 m2,Đông Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,25m",12m,4,"4,5m",---,---
" Đường Bình Thái 3, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,3 tỷ ", 135 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,4m",25m,2,"5,5m",,
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 11 tỷ , 140 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,9m",25m,1,33m,---,
" đường Quách Thị Trang Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,9 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,2,"7,5m",,
" Đường Trần Kim Xuyến, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 5,6 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,"7,5m",,
" Đường Đô Đốc Tuyết, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,3 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,"5,5m",,
" Đường Trương Quang Giao, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,3 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3,"5,5m",,
" Đường Liêm Lạc 15, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 2,85 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,"5,5m",,
" Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 4,4 tỷ ", 95 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,19m,3,"5,5m",---,---
" Đường Nguyễn Nho Túy, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 3,55 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2,"5,5m",---,
" Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3,"5,5m",,
" Đường Võ Chí Công, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 24 tỷ , 250 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,15m,17m,2,33m,,
" Đường Bình Thái 4, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,85 tỷ ", 126 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,21m,2,"5,5m",,
" Đường Cách Mạng Tháng 8, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng", 14 tỷ , 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,15m,2,33m,---,---
" Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 17,9 tỷ ", 160 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,7m",21m,3,33m,,
" Đường Đô Đốc Tuyết, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,75 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3,"5,5m",,
" Đường Phan Triêm, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,"7,5m",,
" Đường Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,7 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,3,15m,,
" Đường Trần Kim Bảng, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,4 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2,"5,5m",,
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 20 tỷ , 310 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"11,2m",26m,3,33m,,
" Đường Trần Huy Liệu, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,1 tỷ ", 100 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2,"5,5m",,
" Đường Bùi Vịnh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 120 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,24m,2,"5,5m",,
" Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 1,8 tỷ ", 62 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,2m",12m,2,3m,---,---
" Đường Nguyễn Nhàn, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 72 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",16m,2,6m,,
" Đường Cách Mạng Tháng 8, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 2 tỷ , 84 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,21m,2,3m,---,
" Đường Triệu Quốc Đạt, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 80 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,"13,5m",2,6m,,
" Đường Bùi Xương Trạch, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 100 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,20m,1,"2,5m",---,---
" Đường Ông Ích Đường, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,2 tỷ ", 76 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,6m",16m,2,5m,,
" Đường Nguyễn Trung Ngạn, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,9 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,2,"5,5m",,
" Đường Phạm Hùng, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng", 6 tỷ , 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,1,15m,---,
" Đường Phạm Viết Chánh, Phường Hòa Thọ Đông, Quận Cẩm Lệ, Đà Nẵng"," 2,25 tỷ ", 78 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,13m,2,6m,,
" Đường Bàu Vàng 4, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 4,35 tỷ ", 100 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,4,"7,5m",---,---
" Đường Nguyễn Văn Thoại, Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 7,5 tỷ ", 83 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,8m",18m,1,"4,5m",,
" Đường Núi Thành, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 13 tỷ , 104 m2,_,Nhà mặt tiền,---,---,---,3,10m,---,---
" Đường An Thượng 38, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 8,5 tỷ ", 60 m2,_,Nhà mặt tiền,---,---,---,5,"5,5m",---,---
" Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng", 24 tỷ , 123 m2,_,Nhà mặt tiền,---,---,---,2,10m,---,---
" Đường Lê Văn Hưu, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 8,3 tỷ ", 110 m2,_,Nhà mặt tiền,---,---,---,3,10m,---,---
" Đường Trần Thanh Mại, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 6 tỷ , 75 m2,_,Nhà mặt tiền,---,---,---,2,"5,5m",---,---
" Đường Ông Ích Khiêm, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 8,5 tỷ ", 41 m2,_,Nhà mặt tiền,---,---,---,4,10m,---,---
" Đường An Trung, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 3,6 tỷ ", 55 m2,_,Nhà mặt tiền,---,---,---,1,4m,---,---
" Đường Hoàng Xuân Nhị, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 6 tỷ , 73 m2,_,Nhà mặt tiền,---,---,---,3,"5,5m",---,---
" Đường Chính Hữu, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 11 tỷ , 73 m2,_,Nhà mặt tiền,---,---,---,4,10m,---,---
" Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 13 tỷ , 160 m2,_,Nhà mặt tiền,---,---,---,4,"7,5m",---,---
" Đường Đỗ Thúc Tịnh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 3,9 tỷ ", 73 m2,_,Nhà mặt tiền,---,---,---,1,"7,5m",---,---
" Đường Hoài Thanh, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,6 tỷ ", 69 m2,_,Nhà mặt tiền,---,---,---,4,"7,5m",---,---
" Đường Thanh Lương 6, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 8,2 tỷ ", 200 m2,_,Nhà mặt tiền,---,---,---,2,"7,5m",---,---
" Đường Nguyễn Đức Cảnh, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 3,95 tỷ ", 59 m2,_,Nhà mặt tiền,---,---,---,2,"5,5m",---,---
" Đường Võ Chí Công, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng"," 3,29 tỷ ", 100 m2,_,Nhà mặt tiền,---,---,---,2,"5,5m",---,---
" Đường Nam Thọ 4, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 4,7 tỷ ", 115 m2,_,Nhà mặt tiền,---,---,---,2,"5,5m",---,---
" Đường Võ Chí Công, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 2,8 tỷ ", 88 m2,_,Nhà mặt tiền,---,---,---,2,"5,5m",---,---
" Đường Bình Than, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 2,5 tỷ ", 71 m2,_,Nhà trong hẻm,---,---,---,1,"3,5m",---,---
" Đường Phạm Đình Hổ, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 7,8 tỷ ", 140 m2,_,Nhà mặt tiền,---,---,---,3,"7,5m",---,---
" Đường Sơn Thủy 4, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 2,95 tỷ ", 90 m2,_,Nhà mặt tiền,---,---,---,1,"5,5m",---,---
" Đường Hùng Vương, Phường Hải Châu II, Quận Hải Châu, Đà Nẵng", 40 tỷ , 142 m2,_,Nhà mặt tiền,---,---,---,4,10m,---,---
" Đường 2/9, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 9,7 tỷ ", 67 m2,_,Nhà mặt tiền,---,---,---,5,22m,---,---
" Đường Hoàng Thúc Trâm, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 3,6 tỷ ", 70 m2,_,Nhà trong hẻm,---,---,---,2,"2,5m",---,---
" Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 1,98 tỷ ", 53 m2,_,Nhà trong hẻm,---,---,---,1,3m,---,---
" Đường Trần Đại Nghĩa, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 2,45 tỷ ", 119 m2,_,Nhà trong hẻm,---,---,---,1,3m,---,---
" Đường Ỷ Lan Nguyên Phi, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng", 16 tỷ , 138 m2,_,Nhà trong hẻm,---,---,---,6,5m,---,---
" Đường Bắc Đẩu, Phường Thanh Bình, Quận Hải Châu, Đà Nẵng"," 2,48 tỷ ", 48 m2,_,Nhà trong hẻm,---,---,---,2,4m,---,---
" Đường Phan Tứ, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 10 tỷ , 210 m2,_,Nhà trong hẻm,---,---,---,3,3m,---,---
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 5,9 tỷ ", 110 m2,_,Nhà trong hẻm,---,---,---,4,5m,---,---
" Đường Nguyễn Duy Trinh, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 2,15 tỷ ", 53 m2,_,Nhà trong hẻm,---,---,---,2,3m,---,---
" Đường Lê Văn Hưu, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng", 21 tỷ , 212 m2,Bắc,Nhà mặt tiền,---,10m,"21,25m",3,10m,---,---
" Đường Nguyễn Phước Nguyên, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 4,1 tỷ ", 40 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,9m",7m,3,"7,5m",,
" Đường Bàu Cầu 15, Xã Hòa Châu, Huyện Hòa Vang, Đà Nẵng"," 2,8 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,2,"7,5m",---,
" Đường Đa Phước 1, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,6 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3,"7,5m",,
" Đường Nguyễn Thuật, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 3,4 tỷ ", 125 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,---,"7,5m",---,
" Đường Nguyễn Đức Cảnh, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 5,4 tỷ ", 60 m2,_,Nhà mặt tiền,---,"4,5m",13m,4,"5,5m",,
" Đường Nguyễn Chích, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,67 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,---,"7,5m",---,
