Address,Prices,Area,toFace,type,certificate,width,length,floors
" Đường Nguyễn Văn Linh, Phường Vĩnh Trung, Quận Thanh Khê, Đà Nẵng"," 26,5 tỷ ", 110 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,---,---,5
" 288, Đường Mẹ Thứ, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,8 tỷ ", 100 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Hoàng Sĩ Khải, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 3,4 tỷ ", 75 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,---,---,2
" Đường Hà Huy Tập, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 3,75 tỷ ", 66 m2,Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,11m,3
" K23.35 Đường Nguyễn Văn Huề, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 2,3 tỷ ", 64 m2,_,Nhà trong hẻm,Giấy tờ hợp lệ,"9,4m",8m,2
" Đường Tô Hiệu, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,2 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,---,3
" Đường Phạm Như Xương, Phường Hòa Khánh Nam, Quận Liên Chiểu, Đà Nẵng"," 1,45 tỷ ", 65 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"5,5m",---,1
" Đường Hàn Thuyên, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 7,95 tỷ ", 108 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",24m,3
" Quốc lộ 1A, Xã Hòa Phước, Huyện Hòa Vang, Đà Nẵng", 2 tỷ , 121 m2,_,Nhà trong hẻm,---,---,---,2
" Đường Phan Đăng Lưu, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 7,6 tỷ ", 78 m2,_,Nhà mặt tiền,---,---,---,3
" Đường Mai Đăng Chơn, Phường Hòa Quý, Quận Ngũ Hành Sơn, Đà Nẵng", 15 tỷ , 370 m2,_,Nhà mặt tiền,---,---,---,3
" Đường Nguyễn Hữu Thọ, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng", 52 tỷ , 500 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,20m,25m,3
" Đường Trưng Nữ Vương, Phường Bình Thuận, Quận Hải Châu, Đà Nẵng", 27 tỷ , 202 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,8m,22m,1
" Đường Dương Đức Hiền, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 2,65 tỷ ", 72 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",16m,1
" Đường Tế Hanh, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 3,95 tỷ ", 112 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"22,5m",2
" Trường Thi 4 Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 11,2 tỷ ", 90 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,5
" Đường Ngô Quyền, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 8,2 tỷ ", 85 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,"14,4m",3
" Đường Đào Sư Tích, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,85 tỷ ", 60 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"3,99m","16,74m",3
" Đường Nguyễn Đỗ Cung, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng", 5 tỷ , 110 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,2
" Đường Hà Huy Tập, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 11,5 tỷ ", 98 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,5
" Đường Dương Vân Nga, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 6,8 tỷ ", 100 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,4
" Đường Phạm Văn Bạch, Phường Hòa Cường Nam, Quận Hải Châu, Đà Nẵng"," 4,5 tỷ ", 76 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,19m,1
" Đường Bùi Vịnh, Phường Hòa Phát, Quận Cẩm Lệ, Đà Nẵng"," 4,2 tỷ ", 120 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,24m,2
" Đường Nguyễn Thanh Năm, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 3,2 tỷ ", 75 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,1
" Đường Đoàn Phú Tứ, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng"," 4,1 tỷ ", 147 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,30m,1
" Đường Nguyễn Trác, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng", 9 tỷ , 134 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,27m,2
" Đường Trần Can, Phường Hòa Khê, Quận Thanh Khê, Đà Nẵng"," 5,8 tỷ ", 85 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,3
" Đường An Mỹ, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 4,8 tỷ ", 56 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,14m,1
" Đường Ngô Trí Hòa, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 3,2 tỷ ", 72 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,18m,1
" Đường Man Thiện, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 8,9 tỷ ", 96 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"19,2m",3
" Đường Hoàng Đức Lương, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng", 9 tỷ , 100 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Võ Duy Ninh, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 5,3 tỷ ", 130 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"25,7m",2
" Đường Lý Tự Trọng, Phường Thạch Thang, Quận Hải Châu, Đà Nẵng"," 10,8 tỷ ", 80 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,20m,2
" Đường Ngô Chi Lan, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 6,8 tỷ ", 95 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,21m,1
" Đường Vũ Quỳnh, Phường Thanh Khê Tây, Quận Thanh Khê, Đà Nẵng"," 3,9 tỷ ", 75 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,1
" Đường Trần Văn Đang, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 4,2 tỷ ", 75 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2
" Đường Man Thiện, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 8,9 tỷ ", 96 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"19,2m",3
" Đường Hồ Huân Nghiệp, Phường Mỹ An, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,1 tỷ ", 90 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,1
" Đường Bùi Dương Lịch, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 5,2 tỷ ", 100 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Lưu Nhân Chú, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 3,4 tỷ ", 70 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,2
" An Mỹ 3, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 4,2 tỷ ", 57 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,4m",13m,1
" Đường Lưu Nhân Chú, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 3,4 tỷ ", 70 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,2
" Phạm Hùng Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 6,4 tỷ ", 108 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"21,5m",2
" Đường Nguyễn Thuật, Phường Hòa An, Quận Cẩm Lệ, Đà Nẵng"," 3,15 tỷ ", 90 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,1
" Đường Lê Chân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 5,1 tỷ ", 80 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,2
" Đường Trần Phú, Phường Phước Ninh, Quận Hải Châu, Đà Nẵng", 41 tỷ , 158 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,7m,21m,3
" Đường An Nhơn 1, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 6,45 tỷ ", 73 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,7m","15,4m",3
" Đường Đoàn Trần Nghiệp, Phường Hòa Khánh Bắc, Quận Liên Chiểu, Đà Nẵng", 6 tỷ , 98 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Nguyễn Xuân Khoát, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 9,5 tỷ ", 110 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,3
" Đường Nguyễn Đỗ Cung, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,85 tỷ ", 83 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,3
" Đường Núi Thành, Phường Hòa Thuận Đông, Quận Hải Châu, Đà Nẵng", 24 tỷ , 123 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,1m","17,8m",3
" Đường An Mỹ, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 4,2 tỷ ", 56 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,14m,1
" Đường An Nhơn 3, Phường An Hải Bắc, Quận Sơn Trà, Đà Nẵng"," 8,5 tỷ ", 117 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,3m",22m,2
" Đường Nguyễn Lương Bằng, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng"," 5,3 tỷ ", 214 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,9m",36m,1
" Đường Hàn Thuyên, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 7,8 tỷ ", 112 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",25m,1
" Đường Nước Mặn 2, Phường Khuê Mỹ, Quận Ngũ Hành Sơn, Đà Nẵng"," 5,1 tỷ ", 95 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,19m,2
" Đường An Trung 8, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 3,9 tỷ ", 58 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"5,5m",11m,2
" Đường Xuân Thiều 11, Phường Hòa Hiệp Nam, Quận Liên Chiểu, Đà Nẵng"," 3,6 tỷ ", 100 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,1
" Phước Trường 16 Phường Phước Mỹ, Quận Sơn Trà, Đà Nẵng"," 6,9 tỷ ", 100 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,37m","23,54m",4
" Đường Ngô Quyền, Phường An Hải Tây, Quận Sơn Trà, Đà Nẵng"," 12,5 tỷ ", 87 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"17,42m",2
" Đường Thái Thị Bôi, Phường Chính Gián, Quận Thanh Khê, Đà Nẵng"," 2,95 tỷ ", 45 m2,Bắc,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"11,5m",3
" Đường Nại Nghĩa 4, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 3,6 tỷ ", 50 m2,Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,"12,5m",3
" Đường Nguyễn Thanh Năm, Phường An Khê, Quận Thanh Khê, Đà Nẵng", 3 tỷ , 78 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,"15,6m",1
" Đường Hàn Thuyên, Phường Hòa Cường Bắc, Quận Hải Châu, Đà Nẵng"," 8,4 tỷ ", 100 m2,Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,20m,3
" Đường Nguyễn Thanh Năm, Phường An Khê, Quận Thanh Khê, Đà Nẵng"," 3,1 tỷ ", 75 m2,Đông Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,1
" Đường Gò Nãy 9, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 3,8 tỷ ", 85 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,2
" Đường Nguyễn Trung Ngạn, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng"," 5,2 tỷ ", 125 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,2
" Đường Cao Bá Nhạ, Phường Mân Thái, Quận Sơn Trà, Đà Nẵng", 4 tỷ , 75 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,2
" Đường Sơn Thủy 2, Phường Hòa Hải, Quận Ngũ Hành Sơn, Đà Nẵng"," 4,8 tỷ ", 115 m2,Tây Bắc,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,23m,2
" Đường Hoàng Đình Ái, Phường Hòa Xuân, Quận Cẩm Lệ, Đà Nẵng"," 4,35 tỷ ", 125 m2,Đông,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,25m,2
" Đường Mân Quang 4, Phường Thọ Quang, Quận Sơn Trà, Đà Nẵng"," 3,9 tỷ ", 110 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,22m,1
" Đường Mai Lão Bạng, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 7,3 tỷ ", 93 m2,Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"7,79m","11,79m",3
" Đường Nguyễn Huy Tự, Phường Hòa Minh, Quận Liên Chiểu, Đà Nẵng"," 2,95 tỷ ", 72 m2,Tây Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",16m,2
" Đường Đặng Thùy Trâm, Phường Hòa Thuận Tây, Quận Hải Châu, Đà Nẵng"," 4,6 tỷ ", 79 m2,Tây Nam,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,2m","16,7m",2
" Đường Hồ Sĩ Tân, Phường Nại Hiên Đông, Quận Sơn Trà, Đà Nẵng"," 7,8 tỷ ", 153 m2,Đông Nam,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"30,4m",---,3
" Đường Chu Mạnh Trinh, Phường Khuê Trung, Quận Cẩm Lệ, Đà Nẵng", 5 tỷ , 75 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",---,3
" Đường Trần Cao Vân, Phường Xuân Hà, Quận Thanh Khê, Đà Nẵng"," 11,2 tỷ ", 105 m2,Tây,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"6,6m",---,3
" Đường Nguyễn Đức Cảnh, Quận Hải Châu, Đà Nẵng"," 4,9 tỷ ", 60 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,12m,4
" Đường Phạm Văn Bạch, Quận Hải Châu, Đà Nẵng", 5 tỷ , 76 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",18m,1
" Đường Huy Cận, Quận Hải Châu, Đà Nẵng"," 5,3 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,2
" Đường Huy Cận, Quận Hải Châu, Đà Nẵng"," 5,95 tỷ ", 70 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,14m,3
" Đường Mạc Thị bưởi, Quận Hải Châu, Đà Nẵng"," 6,8 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,18m,3
" Đường Phan Huy Ôn, Quận Hải Châu, Đà Nẵng"," 6,8 tỷ ", 75 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,15m,4
" Đường Lê Lai, Quận Hải Châu, Đà Nẵng"," 2,2 tỷ ", 30 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,6m,2
" Đường Đống Đa, Quận Hải Châu, Đà Nẵng"," 3,1 tỷ ", 44 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"3,5m",13m,3
" Đường Lê Duẩn, Quận Hải Châu, Đà Nẵng"," 1,92 tỷ ", 30 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",7m,2
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 2,75 tỷ ", 60 m2,_,Nhà trong hẻm,---,"3,7m",16m,2
" Đường Phan Châu Trinh, Quận Hải Châu, Đà Nẵng"," 3,5 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,12m,2
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 3,3 tỷ ", 66 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"6,5m",9m,3
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 3,7 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,3
" Đường Mai Lão Bạng, Quận Hải Châu, Đà Nẵng"," 3,75 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,4
" Đường Lê Cơ, Quận Hải Châu, Đà Nẵng"," 4,5 tỷ ", 52 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,3
" Đường Ông Ích Khiêm, Quận Hải Châu, Đà Nẵng"," 4,5 tỷ ", 52 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",11m,3
" Đường Hoàng Diệu, Phường Bình Hiên, Quận Hải Châu, Đà Nẵng"," 5,2 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,7m,10m,3
" Đường Nguyễn Văn Linh, Quận Hải Châu, Đà Nẵng"," 5,2 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",15m,3
" Đường Trưng Nữ Vương, Quận Hải Châu, Đà Nẵng"," 5,4 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,12m,4
" Đường Trưng Nữ Vương, Quận Hải Châu, Đà Nẵng", 6 tỷ , 132 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,22m,3
" Đường Tống Phước Phổ, Quận Hải Châu, Đà Nẵng"," 6,4 tỷ ", 240 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,12m,4
" Đường Trưng Nữ Vương, Quận Hải Châu, Đà Nẵng"," 6,45 tỷ ", 55 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",12m,4
" Đường Tiểu La, Quận Hải Châu, Đà Nẵng", 4 tỷ , 82 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,17m,3
" Đường Nguyễn Hữu Thọ, Quận Hải Châu, Đà Nẵng"," 4,05 tỷ ", 97 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,20m,2
" Đường Đinh Tiên Hoàng, Quận Hải Châu, Đà Nẵng"," 2,65 tỷ ", 35 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,7m,2
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 2,69 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,6m,8m,2
" Đường Nguyễn Tri Phương, Quận Hải Châu, Đà Nẵng"," 3,15 tỷ ", 65 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,13m,1
" Đường 2/9, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 2,6 tỷ ", 80 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,13m,1
" Đường Núi Thành, Quận Hải Châu, Đà Nẵng"," 2,85 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"8,6m",7m,1
" Đường Nguyễn Tri Phương, Quận Hải Châu, Đà Nẵng"," 3,8 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,3
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 3,5 tỷ ", 55 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,3
" Đường Nguyễn Khánh Toàn, Quận Hải Châu, Đà Nẵng", 6 tỷ , 90 m2,_,Nhà mặt tiền,---,5m,16m,1
" Đường Hoàng Xuân Nhị, Quận Hải Châu, Đà Nẵng"," 6,2 tỷ ", 75 m2,_,Nhà mặt tiền,---,5m,15m,3
" Đường Hoàng Xuân Nhị, Quận Hải Châu, Đà Nẵng"," 5,8 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,2
" Đường Hải Hồ, Quận Hải Châu, Đà Nẵng"," 5,2 tỷ ", 40 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,8m,3
" Đường Châu Văn Liêm, Quận Hải Châu, Đà Nẵng"," 5,2 tỷ ", 65 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,13m,3
" Đường Tiên Sơn, Quận Hải Châu, Đà Nẵng"," 6,7 tỷ ", 85 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,3
" Đường Nguyễn Sơn Hà, Quận Hải Châu, Đà Nẵng"," 6,7 tỷ ", 85 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,17m,2
" Đường Ông Ích Khiêm, Quận Hải Châu, Đà Nẵng"," 3,79 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,3
" Đường Thanh Long, Quận Hải Châu, Đà Nẵng"," 1,92 tỷ ", 40 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,8m,2
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 1,93 tỷ ", 30 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,3m,10m,2
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 2,69 tỷ ", 50 m2,_,Nhà trong hẻm,---,6m,8m,2
" Đường Cách Mạng Tháng 8, Quận Cẩm Lệ, Đà Nẵng"," 2,08 tỷ ", 81 m2,_,Nhà trong hẻm,---,4m,20m,1
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 2,45 tỷ ", 35 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,6m",8m,2
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 3,5 tỷ ", 72 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,13m,2
" Đường Trưng Nữ Vương, Quận Hải Châu, Đà Nẵng"," 3,5 tỷ ", 82 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,16m,1
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 3,8 tỷ ", 90 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,16m,2
" Đường Nguyễn Tri Phương, Quận Hải Châu, Đà Nẵng"," 3,85 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,12m,2
" Đường Đặng Thùy Trâm, Quận Hải Châu, Đà Nẵng"," 5,4 tỷ ", 80 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,4m,20m,3
" Đường Hoàng Thúc Trâm, Quận Hải Châu, Đà Nẵng"," 4,5 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,4
" Đường Núi Thành, Quận Hải Châu, Đà Nẵng"," 4,6 tỷ ", 64 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,13m,4
" Đường Ngô Gia Tự, Quận Hải Châu, Đà Nẵng"," 6,5 tỷ ", 35 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,6m,"5,5m",1
" Đường Lê Bá Trinh, Quận Hải Châu, Đà Nẵng"," 6,5 tỷ ", 55 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,"4,5m",13m,3
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 4,2 tỷ ", 50 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,10m,4
" Đường Núi Thành, Quận Hải Châu, Đà Nẵng"," 2,7 tỷ ", 45 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,5m,9m,1
" Đường Hoàng Diệu, Quận Hải Châu, Đà Nẵng"," 2,4 tỷ ", 60 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,"4,5m",13m,2
" Đường Lê Lai, Quận Hải Châu, Đà Nẵng"," 3,2 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,9m,8m,2
" Đường 2/9, Phường Thuận Phước, Quận Hải Châu, Đà Nẵng"," 2,8 tỷ ", 70 m2,_,Nhà trong hẻm,Sổ hồng/ Sổ đỏ,10m,7m,2
" Đường Phạm Văn Bạch, Quận Hải Châu, Đà Nẵng"," 6,2 tỷ ", 90 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,5m,16m,2
" Đường Chu Văn An, Quận Hải Châu, Đà Nẵng"," 6,3 tỷ ", 34 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,8m,1
" Đường Nguyễn Hoàng, Quận Hải Châu, Đà Nẵng"," 5,2 tỷ ", 30 m2,_,Nhà mặt tiền,Sổ hồng/ Sổ đỏ,4m,8m,3
" Đường Trần Tấn Mới, Quận Hải Châu, Đà Nẵng"," 5,2 tỷ ", 85 m2,_,Nhà mặt tiền,---,5m,17m,1
